Date,Open,High,Low,Close,Adj Close,Volume
2007-11-30,353.202759,353.232574,338.851105,344.260925,344.260925,15893500
2007-12-03,343.272339,345.254456,338.369232,338.562988,338.562988,8706300
2007-12-04,336.963379,343.764160,336.372223,339.869476,339.869476,8518500
2007-12-05,344.126801,347.206757,341.528687,346.998108,346.998108,8473900
2007-12-06,346.645416,355.964783,346.252960,355.319000,355.319000,9881800
2007-12-07,355.184875,356.680145,352.954376,355.125244,355.125244,7754200
2007-12-10,355.681641,360.058167,354.693054,356.888794,356.888794,7762500
2007-12-11,357.643860,358.165466,347.132233,347.340881,347.340881,12357900
2007-12-12,354.693054,354.852020,342.025452,347.415405,347.415405,12398200
2007-12-13,345.905212,346.556000,338.404022,344.782532,344.782532,10147100
2007-12-14,341.533661,347.589264,341.409454,342.750732,342.750732,7394600
2007-12-17,341.777069,345.463104,329.690674,332.452728,332.452728,11043200
2007-12-18,334.901794,336.168549,324.141785,334.499390,334.499390,14426500
2007-12-19,334.926636,337.554535,332.338470,336.496429,336.496429,8899700
2007-12-20,340.699066,343.267365,338.105957,342.616608,342.616608,8901900
2007-12-21,346.685150,347.370697,344.380127,346.093994,346.093994,10833900
2007-12-24,345.249481,348.100952,344.290710,348.100952,348.100952,3277900
2007-12-26,347.236572,354.305573,346.849091,353.123260,353.123260,5092800
2007-12-27,351.250458,355.686615,348.105896,348.105896,348.105896,5923100
2007-12-28,350.187378,351.687622,346.019470,348.995117,348.995117,5158600
2007-12-31,347.027924,348.975250,343.058746,343.505829,343.505829,4783200
2008-01-02,344.196320,346.431793,336.675262,340.381134,340.381134,8669700
2008-01-03,340.415924,341.205780,336.074158,340.450684,340.450684,6547200
2008-01-04,337.648926,338.279816,325.383698,326.377228,326.377228,10789200
2008-01-07,324.857117,329.000183,316.615723,322.527283,322.527283,12890000
2008-01-08,324.390167,327.847656,313.461243,313.799042,313.799042,10747500
2008-01-09,312.984344,324.559052,309.243683,324.489502,324.489502,13566900
2008-01-10,320.420959,326.476593,317.986816,321.275421,321.275421,12750700
2008-01-11,319.273438,322.636566,313.019104,317.062805,317.062805,10018600
2008-01-14,323.466156,326.575928,320.540192,324.797516,324.797516,8952700
2008-01-15,320.863098,322.427917,315.637085,316.764740,316.764740,11208800
2008-01-16,312.452789,317.927185,299.020172,305.984863,305.984863,21257300
2008-01-17,308.374329,310.848236,297.072815,298.453857,298.453857,16540400
2008-01-18,302.214386,303.024109,297.291412,298.185577,298.185577,17190200
2008-01-22,279.199066,296.819489,278.786774,290.286957,290.286957,19126600
2008-01-23,278.543335,282.164795,257.823120,272.537415,272.537415,34152000
2008-01-24,277.594513,287.972015,275.279572,285.388824,285.388824,18924000
2008-01-25,293.992859,295.577545,281.260681,281.369965,281.369965,14022500
2008-01-28,283.640198,284.271088,272.527466,276.193634,276.193634,11709000
2008-01-29,278.424133,278.851349,268.588104,273.481262,273.481262,12647600
2008-01-30,272.820557,278.404236,269.998932,272.363525,272.363525,15982400
2008-01-31,267.763458,284.648621,265.418701,280.326752,280.326752,29936000
2008-02-01,262.626862,266.601013,253.352188,256.283112,256.283112,35429900
2008-02-04,252.890198,254.733200,244.683563,246.114258,246.114258,26485300
2008-02-05,243.133652,252.855423,242.681595,251.762527,251.762527,22552200
2008-02-06,253.918503,253.933411,247.356186,249.233978,249.233978,15372000
2008-02-07,246.824646,255.433655,245.781433,250.843506,250.843506,15960800
2008-02-08,253.059097,257.192200,252.706390,256.675568,256.675568,13746500
2008-02-11,258.578186,260.162903,255.041199,258.896118,258.896118,11727700
2008-02-12,260.003937,263.585632,254.857391,257.371063,257.371063,13411200
2008-02-13,259.561798,265.766449,257.669098,265.582642,265.582642,13335500
2008-02-14,267.435577,268.771912,263.784332,264.405304,264.405304,13037500
2008-02-15,262.448029,264.608978,260.470886,263.108734,263.108734,10548300
2008-02-19,265.741608,265.801208,251.613495,252.830582,252.830582,12783400
2008-02-20,250.128159,253.853928,247.798309,252.855423,252.855423,13411000
2008-02-21,254.767975,254.946823,248.136108,249.805252,249.805252,11429400
2008-02-22,249.407837,252.855423,247.167419,252.259293,252.259293,11103500
2008-02-25,251.340271,251.613495,241.300568,241.648315,241.648315,16854400
2008-02-26,229.109863,231.727829,221.981232,230.595200,230.595200,46877300
2008-02-27,228.578323,236.208694,228.334900,234.902191,234.902191,20375400
2008-02-28,233.729813,237.997055,232.169952,236.159012,236.159012,13259400
2008-02-29,234.410385,238.319962,230.823715,234.067612,234.067612,18973300
2008-03-03,234.231552,234.832642,223.600693,227.033371,227.033371,15207200
2008-03-04,224.017975,225.215195,216.481995,220.863495,220.863495,27420500
2008-03-05,221.186401,225.617569,220.565430,222.403473,222.403473,14969800
2008-03-06,222.398514,225.185379,214.196854,214.951950,214.951950,15037300
2008-03-07,213.054291,218.578354,211.742813,215.274841,215.274841,16248500
2008-03-10,213.029449,214.107437,205.185471,205.473587,205.473587,16079000
2008-03-11,211.255981,218.652878,210.952957,218.498871,218.498871,17768500
2008-03-12,218.583328,222.492905,217.619598,218.667770,218.667770,13390300
2008-03-13,214.937042,222.045807,213.004608,220.073639,220.073639,15553600
2008-03-14,220.058731,223.218185,213.918671,217.545074,217.545074,13234200
2008-03-17,212.612167,215.453674,204.723465,208.578400,208.578400,15878900
2008-03-18,213.103958,218.995651,211.390106,218.161072,218.161072,14568400
